target,driver,best_lag,min_pvalue,fdr_qvalue,sig_p05,sig_fdr_05
amazon_spend,meta_spend,3,8.202507686259411e-09,4.59340430430527e-07,True,True
google_spend,liveintent_spend,3,0.0005795737182435958,0.016228064110820683,True,True
beehiiv_spend,moloco_spend,2,0.005869066632059703,0.10955591046511447,True,False
meta_spend,amazon_spend,1,0.013017518498042727,0.1578697680009412,True,False
snapchat_spend,moloco_spend,1,0.014095515000084036,0.1578697680009412,True,False
liveintent_spend,beehiiv_spend,3,0.027929077402581392,0.24285585874086946,True,False
amazon_spend,tiktok_spend,2,0.03177716411169489,0.24285585874086946,True,False
tiktok_spend,amazon_spend,3,0.03899922590496136,0.24285585874086946,True,False
moloco_spend,liveintent_spend,3,0.03903040586906831,0.24285585874086946,True,False
google_spend,beehiiv_spend,3,0.05976299661229611,0.3322624223308728,False,False
beehiiv_spend,tiktok_spend,1,0.07195619479397214,0.3322624223308728,False,False
meta_spend,tiktok_spend,1,0.07560993675533485,0.3322624223308728,False,False
snapchat_spend,liveintent_spend,2,0.08339855691525613,0.3322624223308728,False,False
tiktok_spend,moloco_spend,2,0.08474665029323174,0.3322624223308728,False,False
beehiiv_spend,meta_spend,3,0.09372574404214706,0.3322624223308728,False,False
moloco_spend,snapchat_spend,2,0.09978965311120562,0.3322624223308728,False,False
liveintent_spend,meta_spend,3,0.10086537820758637,0.3322624223308728,False,False
moloco_spend,google_spend,3,0.11878401489398774,0.3366051406455889,False,False
beehiiv_spend,liveintent_spend,2,0.11947786528182007,0.3366051406455889,False,False
google_spend,snapchat_spend,1,0.12307227099167833,0.3366051406455889,False,False
beehiiv_spend,snapchat_spend,1,0.12622692774209582,0.3366051406455889,False,False
meta_spend,moloco_spend,1,0.13849758130453976,0.3406329295807227,False,False
moloco_spend,beehiiv_spend,1,0.13990281036351113,0.3406329295807227,False,False
amazon_spend,moloco_spend,2,0.15026871116749582,0.3455197739006461,False,False
snapchat_spend,beehiiv_spend,1,0.1542498990627884,0.3455197739006461,False,False
liveintent_spend,moloco_spend,2,0.19113478488186733,0.41167492128402194,False,False
moloco_spend,tiktok_spend,1,0.21497338861698403,0.44587073194633725,False,False
google_spend,moloco_spend,2,0.225479370681684,0.44862489427746166,False,False
tiktok_spend,google_spend,3,0.2323236059651141,0.44862489427746166,False,False
google_spend,tiktok_spend,2,0.27091244188648517,0.5057032248547723,False,False
meta_spend,liveintent_spend,1,0.2970420355689945,0.5365920642536675,False,False
tiktok_spend,snapchat_spend,1,0.3096176472004073,0.5418308826007128,False,False
tiktok_spend,liveintent_spend,3,0.33769740292737854,0.568632644916855,False,False
google_spend,amazon_spend,1,0.34524124869951905,0.568632644916855,False,False
beehiiv_spend,google_spend,3,0.36269467362708563,0.580311477803337,False,False
meta_spend,google_spend,1,0.3732190943491238,0.5805630356541926,False,False
meta_spend,beehiiv_spend,2,0.42847367480929294,0.6369908274873866,False,False
amazon_spend,snapchat_spend,1,0.4401826734102001,0.6369908274873866,False,False
amazon_spend,liveintent_spend,1,0.44972237491973044,0.6369908274873866,False,False
google_spend,meta_spend,1,0.4549934482052761,0.6369908274873866,False,False
snapchat_spend,google_spend,1,0.4749811549237328,0.6487547481885131,False,False
tiktok_spend,meta_spend,2,0.5435901517439204,0.7246925165174625,False,False
meta_spend,snapchat_spend,1,0.5564603251830516,0.7246925165174625,False,False
snapchat_spend,amazon_spend,1,0.6349510677966883,0.7895270135233502,False,False
tiktok_spend,beehiiv_spend,1,0.6355903995949814,0.7895270135233502,False,False
liveintent_spend,snapchat_spend,2,0.6577621609382024,0.7895270135233502,False,False
moloco_spend,meta_spend,3,0.6626387434928117,0.7895270135233502,False,False
snapchat_spend,tiktok_spend,1,0.7348213373868241,0.857291560284628,False,False
moloco_spend,amazon_spend,1,0.8024291120093463,0.9170618422963959,False,False
snapchat_spend,meta_spend,1,0.8436528565700797,0.9296566980679055,False,False
amazon_spend,google_spend,1,0.8686416265255799,0.9296566980679055,False,False
liveintent_spend,amazon_spend,3,0.8699001619107186,0.9296566980679055,False,False
liveintent_spend,google_spend,3,0.8824493130486154,0.9296566980679055,False,False
liveintent_spend,tiktok_spend,3,0.896454673136909,0.9296566980679055,False,False
amazon_spend,beehiiv_spend,1,1.0,1.0,False,False
beehiiv_spend,amazon_spend,1,1.0,1.0,False,False
