target,driver,best_lag,min_pvalue,min_pvalue_bonf,fdr_qvalue,sig_p05,sig_bonf_05,sig_fdr_05
amazon_spend,meta_spend,3,8.202507686259411e-09,2.460752305877823e-08,1.378021291291581e-06,True,True,True
google_spend,liveintent_spend,3,0.0005795737182435958,0.0017387211547307874,0.048684192332462045,True,True,True
beehiiv_spend,moloco_spend,2,0.005869066632059703,0.01760719989617911,0.3286677313953434,True,True,False
meta_spend,amazon_spend,1,0.013017518498042727,0.039052555494128185,0.4736093040028237,True,True,False
snapchat_spend,moloco_spend,1,0.014095515000084036,0.04228654500025211,0.4736093040028237,True,True,False
liveintent_spend,beehiiv_spend,3,0.027929077402581392,0.08378723220774417,0.7285675762226084,True,False,False
amazon_spend,tiktok_spend,2,0.03177716411169489,0.09533149233508467,0.7285675762226084,True,False,False
tiktok_spend,amazon_spend,3,0.03899922590496136,0.11699767771488409,0.7285675762226084,True,False,False
moloco_spend,liveintent_spend,3,0.03903040586906831,0.11709121760720492,0.7285675762226084,True,False,False
google_spend,beehiiv_spend,3,0.05976299661229611,0.17928898983688832,0.9967872669926184,False,False,False
beehiiv_spend,tiktok_spend,1,0.07195619479397214,0.21586858438191642,0.9967872669926184,False,False,False
meta_spend,tiktok_spend,1,0.07560993675533485,0.22682981026600457,0.9967872669926184,False,False,False
snapchat_spend,liveintent_spend,2,0.08339855691525613,0.25019567074576843,0.9967872669926184,False,False,False
tiktok_spend,moloco_spend,2,0.08474665029323174,0.2542399508796952,0.9967872669926184,False,False,False
beehiiv_spend,meta_spend,3,0.09372574404214706,0.2811772321264412,0.9967872669926184,False,False,False
moloco_spend,snapchat_spend,2,0.09978965311120562,0.29936895933361685,0.9967872669926184,False,False,False
liveintent_spend,meta_spend,3,0.10086537820758637,0.30259613462275914,0.9967872669926184,False,False,False
moloco_spend,google_spend,3,0.11878401489398774,0.35635204468196324,1.0,False,False,False
beehiiv_spend,liveintent_spend,2,0.11947786528182007,0.3584335958454602,1.0,False,False,False
google_spend,snapchat_spend,1,0.12307227099167833,0.369216812975035,1.0,False,False,False
beehiiv_spend,snapchat_spend,1,0.12622692774209582,0.37868078322628745,1.0,False,False,False
meta_spend,moloco_spend,1,0.13849758130453976,0.4154927439136193,1.0,False,False,False
moloco_spend,beehiiv_spend,1,0.13990281036351113,0.41970843109053335,1.0,False,False,False
amazon_spend,moloco_spend,2,0.15026871116749582,0.45080613350248744,1.0,False,False,False
snapchat_spend,beehiiv_spend,1,0.1542498990627884,0.4627496971883652,1.0,False,False,False
liveintent_spend,moloco_spend,2,0.19113478488186733,0.573404354645602,1.0,False,False,False
moloco_spend,tiktok_spend,1,0.21497338861698403,0.6449201658509521,1.0,False,False,False
google_spend,moloco_spend,2,0.225479370681684,0.676438112045052,1.0,False,False,False
tiktok_spend,google_spend,3,0.2323236059651141,0.6969708178953422,1.0,False,False,False
google_spend,tiktok_spend,2,0.27091244188648517,0.8127373256594554,1.0,False,False,False
meta_spend,liveintent_spend,1,0.2970420355689945,0.8911261067069836,1.0,False,False,False
tiktok_spend,snapchat_spend,1,0.3096176472004073,0.9288529416012219,1.0,False,False,False
tiktok_spend,liveintent_spend,3,0.33769740292737854,1.0,1.0,False,False,False
google_spend,amazon_spend,1,0.34524124869951905,1.0,1.0,False,False,False
beehiiv_spend,google_spend,3,0.36269467362708563,1.0,1.0,False,False,False
meta_spend,google_spend,1,0.3732190943491238,1.0,1.0,False,False,False
meta_spend,beehiiv_spend,2,0.42847367480929294,1.0,1.0,False,False,False
amazon_spend,snapchat_spend,1,0.4401826734102001,1.0,1.0,False,False,False
amazon_spend,liveintent_spend,1,0.44972237491973044,1.0,1.0,False,False,False
google_spend,meta_spend,1,0.4549934482052761,1.0,1.0,False,False,False
snapchat_spend,google_spend,1,0.4749811549237328,1.0,1.0,False,False,False
tiktok_spend,meta_spend,2,0.5435901517439204,1.0,1.0,False,False,False
meta_spend,snapchat_spend,1,0.5564603251830516,1.0,1.0,False,False,False
snapchat_spend,amazon_spend,1,0.6349510677966883,1.0,1.0,False,False,False
tiktok_spend,beehiiv_spend,1,0.6355903995949814,1.0,1.0,False,False,False
liveintent_spend,snapchat_spend,2,0.6577621609382024,1.0,1.0,False,False,False
moloco_spend,meta_spend,3,0.6626387434928117,1.0,1.0,False,False,False
snapchat_spend,tiktok_spend,1,0.7348213373868241,1.0,1.0,False,False,False
moloco_spend,amazon_spend,1,0.8024291120093463,1.0,1.0,False,False,False
snapchat_spend,meta_spend,1,0.8436528565700797,1.0,1.0,False,False,False
amazon_spend,google_spend,1,0.8686416265255799,1.0,1.0,False,False,False
liveintent_spend,amazon_spend,3,0.8699001619107186,1.0,1.0,False,False,False
liveintent_spend,google_spend,3,0.8824493130486154,1.0,1.0,False,False,False
liveintent_spend,tiktok_spend,3,0.896454673136909,1.0,1.0,False,False,False
amazon_spend,beehiiv_spend,1,1.0,1.0,1.0,False,False,False
beehiiv_spend,amazon_spend,1,1.0,1.0,1.0,False,False,False
